Date,RELIANCE.NS,TCS.NS,DABUR.NS,SUNPHARMA.NS,SBIN.NS,ITC.NS,NTPC.NS
2009-12-31,444.8479309082031,272.2683410644531,70.60847473144531,127.45652770996094,85.33283233642578,61.273990631103516,120.27786254882812
2010-01-31,416.2530517578125,283.234130859375,74.31893920898438,133.22344970703125,81.91802978515625,56.88945770263672,113.96369171142578
2010-02-28,456.77496337890625,290.2425537109375,69.73029327392578,155.0538330078125,90.89540100097656,64.43383026123047,116.32099151611328
2010-03-31,439.49041748046875,284.57269287109375,79.17108154296875,135.9490203857422,100.62700653076172,65.11974334716797,118.58094024658203
2010-04-30,444.5928649902344,276.26300048828125,81.4105224609375,143.99159240722656,99.23179626464844,69.36959075927734,115.58140563964844
2010-05-31,469.776123046875,279.21875,92.47603607177734,154.4568634033203,100.68386840820312,74.8199462890625,114.03883361816406
2010-06-30,435.2062072753906,315.4657287597656,86.78959655761719,153.02914428710938,119.97757720947266,79.3248062133789,113.55340576171875
2010-07-31,396.2180480957031,318.4401550292969,91.88323211669922,152.49273681640625,132.6085968017578,83.83377838134766,111.95390319824219
2010-08-31,425.5508117675781,349.8408203125,96.06195068359375,174.82496643066406,155.33238220214844,91.6185073852539,123.95198822021484
2010-09-30,472.53485107421875,397.3756103515625,88.72386932373047,198.10452270507812,151.02536010742188,87.96971130371094,112.12142181396484
2010-10-31,424.83953857421875,406.0938415527344,83.25367736816406,210.09378051757812,143.43238830566406,88.32965850830078,105.63387298583984
2010-11-30,456.34906005859375,441.6063537597656,89.61896514892578,227.65052795410156,134.7896270751953,89.74246978759766,115.19258880615234
2010-12-31,396.2611389160156,439.2763671875,83.76356506347656,206.94859313964844,126.66456604003906,83.55091094970703,108.5335464477539
2011-01-31,415.6367492675781,422.03839111328125,89.17198944091797,198.803955078125,126.0917739868164,86.83977508544922,97.5108413696289
2011-02-28,452.21099853515625,450.0348205566406,85.90904998779297,207.72315979003906,132.5558319091797,93.57086181640625,113.09193420410156
2011-03-31,424.0420837402344,443.0975646972656,90.42353820800781,218.63746643066406,134.43971252441406,98.83749389648438,106.76678466796875
2011-04-30,410.2917175292969,439.86639404296875,105.12908172607422,224.12977600097656,110.15321350097656,99.35160064697266,98.5376968383789
